Document_Number,Posting_Date,Plant_Code,Material_Code,Material_Description,Quantity,Unit,Cost_Center,Vendor_Name,Amount,Currency,Fuel_Type
450001201,2026-05-01,PLT001,DIESEL01,Industrial Diesel,500,L,CC1001,Indian Oil,42000,INR,Diesel
450001202,01/05/2026,PLT002,PETROL01,Petrol Fuel,300,L,CC1002,BPCL,27000,INR,Petrol
450001203,2026.05.03,PLT003,LUB001,Lubricant Oil,120,KG,CC1003,Shell India,18000,INR,Lubricant
450001204,2026-05-04,WERK01,DIESEL01,Industrial Diesel,700,L,CC1001,Indian Oil,59000,INR,Diesel
450001205,05-05-2026,PLT005,PETROL01,Petrol Fuel,250,L,CC1005,HPCL,22000,INR,Petrol
450001206,2026-05-06,PLT006,DIESEL01,Industrial Diesel,,L,CC1006,Indian Oil,64000,INR,Diesel
450001207,2026-05-07,UNKNOWN,LUB001,Lubricant Oil,90,KG,CC1007,Shell India,15000,INR,Lubricant
450001208,2026-05-08,PLT008,DIESEL01,Industrial Diesel,12000,L,CC1008,Indian Oil,980000,INR,Diesel
450001209,2026/05/09,PLT009,GAS01,Compressed Natural Gas,450,m3,CC1009,GAIL,35000,INR,CNG
450001210,10-05-2026,PLT010,COAL01,Industrial Coal,2500,KG,CC1010,Coal India,175000,INR,Coal
450001211,2026-05-11,PLT011,DIESEL01,Industrial Diesel,-50,L,CC1011,Indian Oil,-4200,INR,Diesel
450001212,2026-05-12,PLT012,BIO01,Bio Fuel,180,LTR,CC1012,Green Fuels,16000,INR,Biofuel
