Invoice_Number,Meter_ID,Billing_Start,Billing_End,kWh_Usage,Tariff,Amount,Currency,Facility
INV1001,MTR001,2026-04-01,2026-04-30,12000,Industrial_A,98000,INR,Kolkata Plant
INV1002,MTR002,2026-04-01,2026-04-30,8500,Industrial_B,72000,INR,Mumbai Office
INV1003,MTR003,2026-04-01,2026-04-28,15000,Industrial_A,125000,INR,Delhi Plant
INV1004,MTR004,2026-04-05,2026-05-04,999999,Industrial_X,9999999,INR,Unknown Site
INV1005,MTR005,2026-04-01,2026-04-30,,Industrial_B,56000,INR,Chennai Office
INV1006,MTR006,2026-04-01,2026-04-30,4300,Commercial_C,35000,INR,Pune Office
INV1007,MTR007,2026-04-10,2026-05-09,22000,Industrial_A,180000,INR,Ahmedabad Plant
INV1008,MTR008,2026-04-01,2026-04-15,-500,Industrial_B,-4500,INR,Test Site
INV1009,MTR009,2026-04-01,2026-04-30,17800,Industrial_C,142000,INR,Hyderabad Plant
INV1010,MTR010,2026-04-01,2026-04-30,9800,Commercial_A,81000,INR,Bangalore Office
